prompt,location,listing_type,style,beds,full_baths,sqft,year_built,list_price,stories,parking_garage,listing_type_NL,style_NL
"I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with at least 952 square feet, built after 1983, with 1 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,APARTMENT,1.0,3.0,952.0,1983.0,,1.0,1.0,buy,apartment
"I'm looking to buy in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1559 square feet, built after 1977, priced around 550000, with 3 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,OTHER,2.0,2.0,1559.0,1977.0,550000.0,3.0,1.0,buy,other
"I'm looking to rent a condo in Los Angeles, CA with 1 bedrooms and 1 bathrooms, with at least 1995 square feet, built after 2002, priced around 600000, with 3 stories, with parking for at least 0 cars","Los Angeles, CA",for_rent,CONDOS,1.0,1.0,1995.0,2002.0,600000.0,3.0,0.0,rent,condo
"I'm looking to rent a single family in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 2393 square feet, built after 1983, priced around 800000, with 3 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,SINGLE_FAMILY,1.0,2.0,2393.0,1983.0,800000.0,3.0,1.0,rent,single family
"I'm looking to buy a apartment in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2424 square feet, priced around 550000, with 2 stories","New York, NY",for_sale,APARTMENT,1.0,2.0,2424.0,,550000.0,2.0,,buy,apartment
"I'm looking to buy a apartment in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 2339 square feet, built after 1956, priced around 900000, with 1 stories","San Antonio, TX",for_sale,APARTMENT,2.0,3.0,2339.0,1956.0,900000.0,1.0,,buy,apartment
"I'm looking to buy a apartment in New York, NY with 4 bedrooms and 1 bathrooms, with at least 2133 square feet, built after 2003, priced around 200000, with parking for at least 1 cars","New York, NY",for_sale,APARTMENT,4.0,1.0,2133.0,2003.0,200000.0,,1.0,buy,apartment
"I'm looking to buy a townhome in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 1275 square feet, priced around 550000, with 2 stories, with parking for at least 0 cars","Phoenix, AZ",for_sale,TOWNHOMES,1.0,2.0,1275.0,,550000.0,2.0,0.0,buy,townhome
"I'm looking to buy a townhome in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 1974 square feet, built after 1993, with 3 stories, with parking for at least 0 cars","San Diego, CA",for_sale,TOWNHOMES,3.0,2.0,1974.0,1993.0,,3.0,0.0,buy,townhome
"I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 882 square feet, built after 1987, priced around 300000, with 2 stories, with parking for at least 2 cars","San Antonio, TX",for_sale,APARTMENT,3.0,3.0,882.0,1987.0,300000.0,2.0,2.0,buy,apartment
"I'm looking to rent in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 1444 square feet, built after 2002, priced around 700000, with 1 stories","Los Angeles, CA",for_rent,OTHER,5.0,2.0,1444.0,2002.0,700000.0,1.0,,rent,other
"I'm looking to rent a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1917 square feet, built after 1957, priced around 700000, with 1 stories","San Diego, CA",for_rent,TOWNHOMES,5.0,3.0,1917.0,1957.0,700000.0,1.0,,rent,townhome
"I'm looking to buy a single family in Phoenix, AZ with 3 bedrooms and 2 bathrooms, with at least 2553 square feet, priced around 900000","Phoenix, AZ",for_sale,SINGLE_FAMILY,3.0,2.0,2553.0,,900000.0,,,buy,single family
"I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with at least 2790 square feet, built after 2015, priced around 600000, with 3 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,APARTMENT,1.0,3.0,2790.0,2015.0,600000.0,3.0,1.0,buy,apartment
"I'm looking to rent a condo in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 2093 square feet, built after 1992, with parking for at least 1 cars","Los Angeles, CA",for_rent,CONDOS,4.0,2.0,2093.0,1992.0,,,1.0,rent,condo
"I'm looking to buy a apartment in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1872 square feet, built after 1987, with 1 stories","Phoenix, AZ",for_sale,APARTMENT,2.0,2.0,1872.0,1987.0,,1.0,,buy,apartment
"I'm looking to buy a single family in Los Angeles, CA with 3 bedrooms and 3 bathrooms, with at least 1523 square feet, with 1 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,SINGLE_FAMILY,3.0,3.0,1523.0,,,1.0,1.0,buy,single family
"I'm looking to buy a townhome in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 2052 square feet, built after 1953, priced around 300000, with 1 stories","San Antonio, TX",for_sale,TOWNHOMES,3.0,2.0,2052.0,1953.0,300000.0,1.0,,buy,townhome
"I'm looking to rent a single family in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 1965 square feet, built after 1978, priced around 300000, with parking for at least 1 cars","San Antonio, TX",for_rent,SINGLE_FAMILY,5.0,2.0,1965.0,1978.0,300000.0,,1.0,rent,single family
"I'm looking to buy a townhome in Los Angeles, CA with 1 bedrooms and 3 bathrooms, with at least 2260 square feet, built after 1967, priced around 450000, with 3 stories","Los Angeles, CA",for_sale,TOWNHOMES,1.0,3.0,2260.0,1967.0,450000.0,3.0,,buy,townhome
"I'm looking to buy in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 2411 square feet, priced around 700000, with 1 stories","San Diego, CA",for_sale,OTHER,4.0,2.0,2411.0,,700000.0,1.0,,buy,other
"I'm looking to rent a condo in San Diego, CA with 5 bedrooms and 2 bathrooms, with at least 2782 square feet, built after 1964, priced around 800000, with 1 stories, with parking for at least 1 cars","San Diego, CA",for_rent,CONDOS,5.0,2.0,2782.0,1964.0,800000.0,1.0,1.0,rent,condo
"I'm looking to buy a single family in San Diego, CA with 1 bedrooms, with at least 2849 square feet, built after 1997, priced around 900000, with 3 stories","San Diego, CA",for_sale,SINGLE_FAMILY,1.0,,2849.0,1997.0,900000.0,3.0,,buy,single family
"I'm looking to buy a condo in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 1828 square feet, priced around 350000, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,CONDOS,5.0,3.0,1828.0,,350000.0,2.0,1.0,buy,condo
"I'm looking to rent a townhome in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 1042 square feet, built after 1970, priced around 100000, with 1 stories, with parking for at least 2 cars","Los Angeles, CA",for_rent,TOWNHOMES,5.0,2.0,1042.0,1970.0,100000.0,1.0,2.0,rent,townhome
"I'm looking to buy a condo in Los Angeles, CA with 3 bedrooms and 2 bathrooms, with at least 2370 square feet, built after 2014, priced around 350000, with 3 stories","Los Angeles, CA",for_sale,CONDOS,3.0,2.0,2370.0,2014.0,350000.0,3.0,,buy,condo
"I'm looking to buy a townhome in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 2088 square feet, built after 2010, priced around 600000, with 1 stories","Los Angeles, CA",for_sale,TOWNHOMES,5.0,3.0,2088.0,2010.0,600000.0,1.0,,buy,townhome
"I'm looking to buy a single family in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 1037 square feet, built after 1965, with 2 stories, with parking for at least 0 cars","San Diego, CA",for_sale,SINGLE_FAMILY,2.0,2.0,1037.0,1965.0,,2.0,0.0,buy,single family
"I'm looking to buy a condo in New York, NY with 1 bedrooms and 2 bathrooms, with at least 1018 square feet, built after 1964, priced around 650000, with 1 stories, with parking for at least 0 cars","New York, NY",for_sale,CONDOS,1.0,2.0,1018.0,1964.0,650000.0,1.0,0.0,buy,condo
"I'm looking to buy a condo in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2695 square feet, built after 1981, with parking for at least 3 cars","New York, NY",for_sale,CONDOS,1.0,2.0,2695.0,1981.0,,,3.0,buy,condo
"I'm looking to buy a single family in Phoenix, AZ with 4 bedrooms, with at least 1073 square feet, built after 1983, priced around 600000, with 1 stories, with parking for at least 3 cars","Phoenix, AZ",for_sale,SINGLE_FAMILY,4.0,,1073.0,1983.0,600000.0,1.0,3.0,buy,single family
"I'm looking to rent a single family in Los Angeles, CA with 4 bedrooms and 3 bathrooms, with at least 1691 square feet, built after 2003, priced around 800000, with 3 stories","Los Angeles, CA",for_rent,SINGLE_FAMILY,4.0,3.0,1691.0,2003.0,800000.0,3.0,,rent,single family
"I'm looking to buy a condo in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2045 square feet, built after 1958, priced around 750000","San Antonio, TX",for_sale,CONDOS,4.0,3.0,2045.0,1958.0,750000.0,,,buy,condo
"I'm looking to rent a single family in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 2665 square feet, priced around 950000, with 2 stories, with parking for at least 3 cars","Phoenix, AZ",for_rent,SINGLE_FAMILY,2.0,3.0,2665.0,,950000.0,2.0,3.0,rent,single family
"I'm looking to buy a single family in San Diego, CA and 3 bathrooms, with at least 1877 square feet, built after 1989, priced around 650000, with 2 stories, with parking for at least 3 cars","San Diego, CA",for_sale,SINGLE_FAMILY,,3.0,1877.0,1989.0,650000.0,2.0,3.0,buy,single family
"I'm looking to rent a single family in San Diego, CA with 2 bedrooms, with at least 2104 square feet, built after 1999, priced around 500000, with 2 stories","San Diego, CA",for_rent,SINGLE_FAMILY,2.0,,2104.0,1999.0,500000.0,2.0,,rent,single family
"I'm looking to buy in San Antonio, TX with 1 bedrooms, with at least 1276 square feet, priced around 650000, with 1 stories","San Antonio, TX",for_sale,OTHER,1.0,,1276.0,,650000.0,1.0,,buy,other
"I'm looking to rent a townhome in Los Angeles, CA with 4 bedrooms, with at least 2980 square feet, built after 2008, priced around 850000, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,TOWNHOMES,4.0,,2980.0,2008.0,850000.0,2.0,1.0,rent,townhome
"I'm looking to rent a single family in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 908 square feet, built after 2013, with 3 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,SINGLE_FAMILY,4.0,2.0,908.0,2013.0,,3.0,1.0,rent,single family
"I'm looking to buy in New York, NY with 1 bedrooms and 3 bathrooms, with at least 1242 square feet, built after 2000, priced around 300000, with 3 stories, with parking for at least 1 cars","New York, NY",for_sale,OTHER,1.0,3.0,1242.0,2000.0,300000.0,3.0,1.0,buy,other
"I'm looking to buy a apartment in Phoenix, AZ with 4 bedrooms and 3 bathrooms, with at least 958 square feet, built after 2009, priced around 750000","Phoenix, AZ",for_sale,APARTMENT,4.0,3.0,958.0,2009.0,750000.0,,,buy,apartment
"I'm looking to buy a townhome in Los Angeles, CA with 4 bedrooms, with at least 2175 square feet, built after 1985, priced around 250000, with parking for at least 1 cars","Los Angeles, CA",for_sale,TOWNHOMES,4.0,,2175.0,1985.0,250000.0,,1.0,buy,townhome
"I'm looking to buy a single family in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2151 square feet, built after 2004, priced around 750000, with 1 stories","New York, NY",for_sale,SINGLE_FAMILY,1.0,2.0,2151.0,2004.0,750000.0,1.0,,buy,single family
"I'm looking to rent a apartment in New York, NY with 2 bedrooms and 2 bathrooms, with at least 2130 square feet, built after 1985, priced around 850000, with parking for at least 3 cars","New York, NY",for_rent,APARTMENT,2.0,2.0,2130.0,1985.0,850000.0,,3.0,rent,apartment
"I'm looking to rent a single family in Los Angeles, CA and 2 bathrooms, with at least 1316 square feet, built after 2018, priced around 150000, with 1 stories","Los Angeles, CA",for_rent,SINGLE_FAMILY,,2.0,1316.0,2018.0,150000.0,1.0,,rent,single family
"I'm looking to buy in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2224 square feet, built after 1972, with 1 stories","San Diego, CA",for_sale,OTHER,3.0,1.0,2224.0,1972.0,,1.0,,buy,other
"I'm looking to buy a condo in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 2732 square feet, built after 1953, priced around 300000, with 1 stories, with parking for at least 0 cars","San Diego, CA",for_sale,CONDOS,3.0,2.0,2732.0,1953.0,300000.0,1.0,0.0,buy,condo
"I'm looking to rent in New York, NY with 5 bedrooms, with at least 1309 square feet, built after 1966, priced around 900000, with 2 stories, with parking for at least 1 cars","New York, NY",for_rent,OTHER,5.0,,1309.0,1966.0,900000.0,2.0,1.0,rent,other
"I'm looking to rent a townhome in San Antonio, TX with 5 bedrooms and 3 bathrooms, with at least 1765 square feet, built after 2004, priced around 800000, with 1 stories","San Antonio, TX",for_rent,TOWNHOMES,5.0,3.0,1765.0,2004.0,800000.0,1.0,,rent,townhome
"I'm looking to rent a single family in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 1848 square feet, built after 1958, priced around 250000, with 1 stories, with parking for at least 1 cars","Los Angeles, CA",for_rent,SINGLE_FAMILY,5.0,3.0,1848.0,1958.0,250000.0,1.0,1.0,rent,single family
"I'm looking to rent a single family in San Diego, CA and 2 bathrooms, with at least 2014 square feet, built after 1993, priced around 250000, with 3 stories, with parking for at least 0 cars","San Diego, CA",for_rent,SINGLE_FAMILY,,2.0,2014.0,1993.0,250000.0,3.0,0.0,rent,single family
"I'm looking to buy a apartment in San Diego, CA with 1 bedrooms and 2 bathrooms, with at least 2462 square feet, built after 1967, priced around 800000, with 3 stories, with parking for at least 1 cars","San Diego, CA",for_sale,APARTMENT,1.0,2.0,2462.0,1967.0,800000.0,3.0,1.0,buy,apartment
"I'm looking to rent a single family in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 2880 square feet, built after 2016, priced around 650000, with 1 stories, with parking for at least 1 cars","San Diego, CA",for_rent,SINGLE_FAMILY,5.0,1.0,2880.0,2016.0,650000.0,1.0,1.0,rent,single family
"I'm looking to buy in New York, NY with 5 bedrooms, with at least 2363 square feet, priced around 350000, with 2 stories, with parking for at least 2 cars","New York, NY",for_sale,OTHER,5.0,,2363.0,,350000.0,2.0,2.0,buy,other
"I'm looking to rent in San Antonio, TX with 1 bedrooms, with at least 1412 square feet, built after 2017, priced around 850000, with 3 stories","San Antonio, TX",for_rent,OTHER,1.0,,1412.0,2017.0,850000.0,3.0,,rent,other
"I'm looking to rent a townhome in New York, NY with 1 bedrooms and 3 bathrooms, with at least 2968 square feet, built after 2006, priced around 400000, with 3 stories, with parking for at least 1 cars","New York, NY",for_rent,TOWNHOMES,1.0,3.0,2968.0,2006.0,400000.0,3.0,1.0,rent,townhome
"I'm looking to rent a condo in New York, NY with 2 bedrooms and 3 bathrooms, with at least 1438 square feet, built after 2012, with 2 stories","New York, NY",for_rent,CONDOS,2.0,3.0,1438.0,2012.0,,2.0,,rent,condo
"I'm looking to buy a townhome in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 2562 square feet, built after 2019, priced around 900000","San Diego, CA",for_sale,TOWNHOMES,4.0,2.0,2562.0,2019.0,900000.0,,,buy,townhome
"I'm looking to buy a condo in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2066 square feet, built after 1996, priced around 550000, with 1 stories","San Diego, CA",for_sale,CONDOS,3.0,1.0,2066.0,1996.0,550000.0,1.0,,buy,condo
"I'm looking to buy a apartment in San Diego, CA with 1 bedrooms and 2 bathrooms, with at least 1754 square feet, built after 1950, priced around 100000, with 3 stories, with parking for at least 0 cars","San Diego, CA",for_sale,APARTMENT,1.0,2.0,1754.0,1950.0,100000.0,3.0,0.0,buy,apartment
"I'm looking to buy a condo in Phoenix, AZ with 1 bedrooms and 1 bathrooms, with at least 986 square feet, built after 1976, priced around 450000, with 2 stories","Phoenix, AZ",for_sale,CONDOS,1.0,1.0,986.0,1976.0,450000.0,2.0,,buy,condo
"I'm looking to buy a condo in San Diego, CA with 1 bedrooms and 1 bathrooms, with at least 1842 square feet, built after 2012, priced around 350000, with parking for at least 0 cars","San Diego, CA",for_sale,CONDOS,1.0,1.0,1842.0,2012.0,350000.0,,0.0,buy,condo
"I'm looking to rent a townhome in New York, NY with 1 bedrooms and 3 bathrooms, with at least 2085 square feet, built after 1992, priced around 300000, with 2 stories","New York, NY",for_rent,TOWNHOMES,1.0,3.0,2085.0,1992.0,300000.0,2.0,,rent,townhome
"I'm looking to buy a single family in San Antonio, TX with 1 bedrooms and 3 bathrooms, with at least 2446 square feet, built after 1967, with 1 stories","San Antonio, TX",for_sale,SINGLE_FAMILY,1.0,3.0,2446.0,1967.0,,1.0,,buy,single family
"I'm looking to buy in Los Angeles, CA with 1 bedrooms and 3 bathrooms, with at least 1371 square feet, built after 2018, priced around 400000, with 2 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,OTHER,1.0,3.0,1371.0,2018.0,400000.0,2.0,1.0,buy,other
"I'm looking to buy a single family in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 1828 square feet, priced around 750000, with 2 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,SINGLE_FAMILY,2.0,3.0,1828.0,,750000.0,2.0,1.0,buy,single family
"I'm looking to buy a condo in New York, NY and 2 bathrooms, with at least 1691 square feet, priced around 900000, with parking for at least 0 cars","New York, NY",for_sale,CONDOS,,2.0,1691.0,,900000.0,,0.0,buy,condo
"I'm looking to rent a apartment in New York, NY with 2 bedrooms and 1 bathrooms, with at least 2598 square feet, built after 1971, priced around 250000, with 3 stories, with parking for at least 1 cars","New York, NY",for_rent,APARTMENT,2.0,1.0,2598.0,1971.0,250000.0,3.0,1.0,rent,apartment
"I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 1446 square feet, built after 1957, priced around 250000, with parking for at least 2 cars","Phoenix, AZ",for_sale,APARTMENT,1.0,2.0,1446.0,1957.0,250000.0,,2.0,buy,apartment
"I'm looking to buy a townhome in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 1475 square feet, priced around 900000, with 1 stories, with parking for at least 2 cars","Los Angeles, CA",for_sale,TOWNHOMES,1.0,2.0,1475.0,,900000.0,1.0,2.0,buy,townhome
"I'm looking to rent a apartment in New York, NY with 5 bedrooms, with at least 2302 square feet","New York, NY",for_rent,APARTMENT,5.0,,2302.0,,,,,rent,apartment
"I'm looking to buy in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2026 square feet, built after 1978, priced around 800000, with 2 stories","New York, NY",for_sale,OTHER,3.0,2.0,2026.0,1978.0,800000.0,2.0,,buy,other
"I'm looking to rent a condo in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1606 square feet, built after 1964, priced around 300000, with 1 stories","Phoenix, AZ",for_rent,CONDOS,2.0,2.0,1606.0,1964.0,300000.0,1.0,,rent,condo
"I'm looking to buy a townhome in New York, NY with 5 bedrooms and 3 bathrooms, with at least 2085 square feet, built after 1957, priced around 700000, with parking for at least 1 cars","New York, NY",for_sale,TOWNHOMES,5.0,3.0,2085.0,1957.0,700000.0,,1.0,buy,townhome
"I'm looking to rent in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1282 square feet, built after 1975, priced around 100000, with 1 stories","San Diego, CA",for_rent,OTHER,5.0,3.0,1282.0,1975.0,100000.0,1.0,,rent,other
"I'm looking to buy a single family in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 1624 square feet, built after 1958, priced around 200000, with parking for at least 1 cars","Los Angeles, CA",for_sale,SINGLE_FAMILY,4.0,2.0,1624.0,1958.0,200000.0,,1.0,buy,single family
"I'm looking to rent a apartment in San Diego, CA with 3 bedrooms and 3 bathrooms, with at least 2450 square feet, built after 1981, priced around 700000, with 2 stories, with parking for at least 2 cars","San Diego, CA",for_rent,APARTMENT,3.0,3.0,2450.0,1981.0,700000.0,2.0,2.0,rent,apartment
"I'm looking to buy a single family in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 915 square feet, built after 1950, with 2 stories, with parking for at least 1 cars","San Antonio, TX",for_sale,SINGLE_FAMILY,5.0,2.0,915.0,1950.0,,2.0,1.0,buy,single family
"I'm looking to buy a single family in San Diego, CA with 5 bedrooms, with at least 2531 square feet, built after 2011, priced around 800000, with 3 stories, with parking for at least 1 cars","San Diego, CA",for_sale,SINGLE_FAMILY,5.0,,2531.0,2011.0,800000.0,3.0,1.0,buy,single family
"I'm looking to buy a townhome in Phoenix, AZ with 2 bedrooms and 1 bathrooms, with at least 1967 square feet, built after 2019, priced around 750000, with 1 stories","Phoenix, AZ",for_sale,TOWNHOMES,2.0,1.0,1967.0,2019.0,750000.0,1.0,,buy,townhome
"I'm looking to buy a townhome in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 2338 square feet, built after 1964, priced around 100000, with 2 stories, with parking for at least 1 cars","Phoenix, AZ",for_sale,TOWNHOMES,2.0,2.0,2338.0,1964.0,100000.0,2.0,1.0,buy,townhome
"I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 892 square feet, priced around 850000, with 2 stories, with parking for at least 2 cars","San Antonio, TX",for_sale,APARTMENT,3.0,2.0,892.0,,850000.0,2.0,2.0,buy,apartment
"I'm looking to buy a apartment in New York, NY with 5 bedrooms and 3 bathrooms, with at least 2160 square feet, priced around 950000, with 3 stories","New York, NY",for_sale,APARTMENT,5.0,3.0,2160.0,,950000.0,3.0,,buy,apartment
"I'm looking to buy a single family in San Diego, CA with 5 bedrooms, with at least 2120 square feet, built after 1977, priced around 400000, with 1 stories","San Diego, CA",for_sale,SINGLE_FAMILY,5.0,,2120.0,1977.0,400000.0,1.0,,buy,single family
"I'm looking to buy a single family in Los Angeles, CA with 2 bedrooms and 2 bathrooms, with at least 2909 square feet, built after 2019, priced around 950000, with 3 stories, with parking for at least 1 cars","Los Angeles, CA",for_sale,SINGLE_FAMILY,2.0,2.0,2909.0,2019.0,950000.0,3.0,1.0,buy,single family
"I'm looking to rent a apartment in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2287 square feet, priced around 450000, with 1 stories, with parking for at least 1 cars","New York, NY",for_rent,APARTMENT,3.0,2.0,2287.0,,450000.0,1.0,1.0,rent,apartment
"I'm looking to buy a townhome in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 1389 square feet, built after 1970, priced around 900000, with 1 stories, with parking for at least 1 cars","San Diego, CA",for_sale,TOWNHOMES,2.0,2.0,1389.0,1970.0,900000.0,1.0,1.0,buy,townhome
"I'm looking to rent a townhome in Los Angeles, CA with 3 bedrooms and 3 bathrooms, with at least 1166 square feet, built after 1991, priced around 550000, with 1 stories","Los Angeles, CA",for_rent,TOWNHOMES,3.0,3.0,1166.0,1991.0,550000.0,1.0,,rent,townhome
"I'm looking to rent a apartment in Los Angeles, CA with 4 bedrooms and 1 bathrooms, with at least 1257 square feet, built after 2007, priced around 750000, with 1 stories","Los Angeles, CA",for_rent,APARTMENT,4.0,1.0,1257.0,2007.0,750000.0,1.0,,rent,apartment
"I'm looking to rent a single family in Phoenix, AZ with 3 bedrooms and 1 bathrooms, with at least 2313 square feet, priced around 650000, with 1 stories, with parking for at least 3 cars","Phoenix, AZ",for_rent,SINGLE_FAMILY,3.0,1.0,2313.0,,650000.0,1.0,3.0,rent,single family
"I'm looking to rent a apartment in San Diego, CA with 4 bedrooms and 3 bathrooms, with at least 1687 square feet, built after 1984, with 1 stories","San Diego, CA",for_rent,APARTMENT,4.0,3.0,1687.0,1984.0,,1.0,,rent,apartment
"I'm looking to buy a condo in San Antonio, TX with 5 bedrooms and 1 bathrooms, with at least 1302 square feet, built after 1967, priced around 450000, with 2 stories, with parking for at least 0 cars","San Antonio, TX",for_sale,CONDOS,5.0,1.0,1302.0,1967.0,450000.0,2.0,0.0,buy,condo
"I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 1384 square feet, priced around 450000, with 3 stories, with parking for at least 1 cars","San Antonio, TX",for_sale,APARTMENT,3.0,2.0,1384.0,,450000.0,3.0,1.0,buy,apartment
"I'm looking to buy a townhome in New York, NY with 4 bedrooms and 2 bathrooms, with at least 1246 square feet, built after 1979, priced around 900000, with parking for at least 1 cars","New York, NY",for_sale,TOWNHOMES,4.0,2.0,1246.0,1979.0,900000.0,,1.0,buy,townhome
"I'm looking to rent a apartment in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 2763 square feet, priced around 600000, with 3 stories, with parking for at least 2 cars","Los Angeles, CA",for_rent,APARTMENT,5.0,2.0,2763.0,,600000.0,3.0,2.0,rent,apartment
"I'm looking to rent a condo in San Antonio, TX with 2 bedrooms and 1 bathrooms, with at least 1951 square feet, built after 2008, priced around 900000, with 1 stories","San Antonio, TX",for_rent,CONDOS,2.0,1.0,1951.0,2008.0,900000.0,1.0,,rent,condo
"I'm looking to buy a apartment in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2618 square feet, built after 1983, with 1 stories","San Antonio, TX",for_sale,APARTMENT,4.0,3.0,2618.0,1983.0,,1.0,,buy,apartment
"I'm looking to rent a condo in San Diego, CA with 2 bedrooms and 1 bathrooms, with at least 2629 square feet, built after 1987, priced around 200000, with 2 stories, with parking for at least 1 cars","San Diego, CA",for_rent,CONDOS,2.0,1.0,2629.0,1987.0,200000.0,2.0,1.0,rent,condo
