generate structured response: I'm looking to buy in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 872 square feet, built after 1966, priced around 150000, with 2 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 5.0; full_baths: 1.0; sqft: 872.0; year_built: 1966.0; list_price: 150000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a single family in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 2665 square feet, priced around 950000, with 2 stories, with parking for at least 3 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: SINGLE_FAMILY; beds: 2.0; full_baths: 3.0; sqft: 2665.0; year_built: nan; list_price: 950000.0; stories: 2.0; parking_garage: 3.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a single family in San Diego, CA and 3 bathrooms, with at least 1877 square feet, built after 1989, priced around 650000, with 2 stories, with parking for at least 3 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: nan; full_baths: 3.0; sqft: 1877.0; year_built: 1989.0; list_price: 650000.0; stories: 2.0; parking_garage: 3.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a single family in San Diego, CA with 2 bedrooms, with at least 2104 square feet, built after 1999, priced around 500000, with 2 stories <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 2.0; full_baths: nan; sqft: 2104.0; year_built: 1999.0; list_price: 500000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy in San Antonio, TX with 1 bedrooms, with at least 1276 square feet, priced around 650000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: OTHER; beds: 1.0; full_baths: nan; sqft: 1276.0; year_built: nan; list_price: 650000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a townhome in Los Angeles, CA with 4 bedrooms, with at least 2980 square feet, built after 2008, priced around 850000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: TOWNHOMES; beds: 4.0; full_baths: nan; sqft: 2980.0; year_built: 2008.0; list_price: 850000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a single family in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 908 square feet, built after 2013, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 4.0; full_baths: 2.0; sqft: 908.0; year_built: 2013.0; list_price: nan; stories: 3.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy in New York, NY with 1 bedrooms and 3 bathrooms, with at least 1242 square feet, built after 2000, priced around 300000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: OTHER; beds: 1.0; full_baths: 3.0; sqft: 1242.0; year_built: 2000.0; list_price: 300000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 4 bedrooms and 3 bathrooms, with at least 958 square feet, built after 2009, priced around 750000 <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 4.0; full_baths: 3.0; sqft: 958.0; year_built: 2009.0; list_price: 750000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a townhome in Los Angeles, CA with 4 bedrooms, with at least 2175 square feet, built after 1985, priced around 250000, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: TOWNHOMES; beds: 4.0; full_baths: nan; sqft: 2175.0; year_built: 1985.0; list_price: 250000.0; stories: nan; parking_garage: 1.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a single family in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2151 square feet, built after 2004, priced around 750000, with 1 stories <|endoftext|> location: New York, NY; listing_type: for_sale; style: SINGLE_FAMILY; beds: 1.0; full_baths: 2.0; sqft: 2151.0; year_built: 2004.0; list_price: 750000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a apartment in New York, NY with 2 bedrooms and 2 bathrooms, with at least 2130 square feet, built after 1985, priced around 850000, with parking for at least 3 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: APARTMENT; beds: 2.0; full_baths: 2.0; sqft: 2130.0; year_built: 1985.0; list_price: 850000.0; stories: nan; parking_garage: 3.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a single family in Los Angeles, CA and 2 bathrooms, with at least 1316 square feet, built after 2018, priced around 150000, with 1 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: nan; full_baths: 2.0; sqft: 1316.0; year_built: 2018.0; list_price: 150000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2224 square feet, built after 1972, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 3.0; full_baths: 1.0; sqft: 2224.0; year_built: 1972.0; list_price: nan; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a condo in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 2732 square feet, built after 1953, priced around 300000, with 1 stories, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: CONDOS; beds: 3.0; full_baths: 2.0; sqft: 2732.0; year_built: 1953.0; list_price: 300000.0; stories: 1.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent in New York, NY with 5 bedrooms, with at least 1309 square feet, built after 1966, priced around 900000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: OTHER; beds: 5.0; full_baths: nan; sqft: 1309.0; year_built: 1966.0; list_price: 900000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to rent a townhome in San Antonio, TX with 5 bedrooms and 3 bathrooms, with at least 1765 square feet, built after 2004, priced around 800000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 1765.0; year_built: 2004.0; list_price: 800000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a single family in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 1848 square feet, built after 1958, priced around 250000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 5.0; full_baths: 3.0; sqft: 1848.0; year_built: 1958.0; list_price: 250000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to rent a single family in San Diego, CA and 2 bathrooms, with at least 2014 square feet, built after 1993, priced around 250000, with 3 stories, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: nan; full_baths: 2.0; sqft: 2014.0; year_built: 1993.0; list_price: 250000.0; stories: 3.0; parking_garage: 0.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a apartment in San Diego, CA with 1 bedrooms and 2 bathrooms, with at least 2462 square feet, built after 1967, priced around 800000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 2.0; sqft: 2462.0; year_built: 1967.0; list_price: 800000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to rent a single family in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 2880 square feet, built after 2016, priced around 650000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 5.0; full_baths: 1.0; sqft: 2880.0; year_built: 2016.0; list_price: 650000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy in New York, NY with 5 bedrooms, with at least 2363 square feet, priced around 350000, with 2 stories, with parking for at least 2 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: OTHER; beds: 5.0; full_baths: nan; sqft: 2363.0; year_built: nan; list_price: 350000.0; stories: 2.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent in San Antonio, TX with 1 bedrooms, with at least 1412 square feet, built after 2017, priced around 850000, with 3 stories <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: OTHER; beds: 1.0; full_baths: nan; sqft: 1412.0; year_built: 2017.0; list_price: 850000.0; stories: 3.0; parking_garage: nan; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to rent a townhome in New York, NY with 1 bedrooms and 3 bathrooms, with at least 2968 square feet, built after 2006, priced around 400000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: TOWNHOMES; beds: 1.0; full_baths: 3.0; sqft: 2968.0; year_built: 2006.0; list_price: 400000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a condo in New York, NY with 2 bedrooms and 3 bathrooms, with at least 1438 square feet, built after 2012, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_rent; style: CONDOS; beds: 2.0; full_baths: 3.0; sqft: 1438.0; year_built: 2012.0; list_price: nan; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to buy a townhome in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 2562 square feet, built after 2019, priced around 900000 <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: TOWNHOMES; beds: 4.0; full_baths: 2.0; sqft: 2562.0; year_built: 2019.0; list_price: 900000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a condo in San Diego, CA with 3 bedrooms and 1 bathrooms, with at least 2066 square feet, built after 1996, priced around 550000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: CONDOS; beds: 3.0; full_baths: 1.0; sqft: 2066.0; year_built: 1996.0; list_price: 550000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: condo
